value,property,files
New Swabia (historic),name,ne_10m_admin_0_antarctic_claims.geojson
Brazilian Antarctica (unofficial),name,ne_10m_admin_0_antarctic_claims.geojson
Argentine Antarctica,name,ne_10m_admin_0_antarctic_claims.geojson
Australian Antarctic Territory,name,ne_10m_admin_0_antarctic_claims.geojson
Ross Dependency,name,ne_10m_admin_0_antarctic_claims.geojson
Antárctica,name,ne_10m_admin_0_antarctic_claims.geojson
Queen Maud Land,name,ne_10m_admin_0_antarctic_claims.geojson;ne_50m_geography_regions_polys.geojson
Adélie Land,name,ne_10m_admin_0_antarctic_claims.geojson
British Antarctic Territory,name,ne_10m_admin_0_antarctic_claims.geojson
Peter I Island,name,ne_10m_admin_0_antarctic_claims.geojson;ne_10m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Japanese claim,name,ne_10m_admin_0_boundary_lines_disputed_areas.geojson
Former USSR oblast in 1991,name,ne_10m_admin_0_boundary_lines_disputed_areas.geojson
Lebanese claim,name,ne_10m_admin_0_boundary_lines_disputed_areas.geojson
Chinese claim,name,ne_10m_admin_0_boundary_lines_disputed_areas.geojson
Bolivian claim,name,ne_10m_admin_0_boundary_lines_disputed_areas.geojson
Atacama corridor,brk_name_l,ne_10m_admin_0_boundary_lines_disputed_areas.geojson
Moldovan claim,name,ne_10m_admin_0_boundary_lines_disputed_areas.geojson
Transdniestria,brk_name_l,ne_10m_admin_0_boundary_lines_disputed_areas.geojson
Georgian claim,name,ne_10m_admin_0_boundary_lines_disputed_areas.geojson
Abkhazia,brk_name_l,ne_10m_admin_0_boundary_lines_disputed_areas.geojson
South Ossetia,brk_name_l,ne_10m_admin_0_boundary_lines_disputed_areas.geojson
Suriname claim,name,ne_10m_admin_0_boundary_lines_disputed_areas.geojson
Courantyne Headwaters,brk_name_l,ne_10m_admin_0_boundary_lines_disputed_areas.geojson
Lawa Headwaters,brk_name_l,ne_10m_admin_0_boundary_lines_disputed_areas.geojson
Tirpani Valleys,brk_name_l,ne_10m_admin_0_boundary_lines_disputed_areas.geojson
Bara Hotii Valleys,brk_name_l,ne_10m_admin_0_boundary_lines_disputed_areas.geojson
Samdu Valleys,brk_name_l,ne_10m_admin_0_boundary_lines_disputed_areas.geojson
Indian claim,name,ne_10m_admin_0_boundary_lines_disputed_areas.geojson
Shaksam Valley,brk_name_r,ne_10m_admin_0_boundary_lines_disputed_areas.geojson
Northern Areas,brk_name_l,ne_10m_admin_0_boundary_lines_disputed_areas.geojson
Sudanese claim,name,ne_10m_admin_0_boundary_lines_disputed_areas.geojson
Ilemi Triangle,brk_name_r,ne_10m_admin_0_boundary_lines_disputed_areas.geojson
Kenyan claim,name,ne_10m_admin_0_boundary_lines_disputed_areas.geojson
Ilemi Triangle S. Sudan admin.,brk_name_l,ne_10m_admin_0_boundary_lines_disputed_areas.geojson
Arunachal Pradesh,brk_name_r,ne_10m_admin_0_boundary_lines_disputed_areas.geojson
